ds,y
3/30/2016,226.8899994
3/31/2016,229.7700043
4/1/2016,237.5899963
4/4/2016,246.9900055
4/5/2016,255.4700012
4/6/2016,265.4200134
4/7/2016,257.2000122
4/8/2016,250.0700073
4/11/2016,249.9199982
4/12/2016,247.8200073
4/13/2016,254.5299988
4/14/2016,251.8600006
4/15/2016,254.5099945
4/18/2016,253.8800049
4/19/2016,247.3699951
4/20/2016,249.9700012
4/21/2016,248.2899933
4/22/2016,253.75
4/25/2016,251.8200073
4/26/2016,253.7400055
4/27/2016,251.4700012
4/28/2016,247.7100067
4/29/2016,240.7599945
5/2/2016,241.8000031
5/3/2016,232.3200073
5/4/2016,222.5599976
5/5/2016,211.5299988
5/6/2016,214.9299927
5/9/2016,208.9199982
5/10/2016,208.6900024
5/11/2016,208.9600067
5/12/2016,207.2799988
5/13/2016,207.6100006
5/16/2016,208.2899933
5/17/2016,204.6600037
5/18/2016,211.1699982
5/19/2016,215.2100067
5/20/2016,220.2799988
5/23/2016,216.2200012
5/24/2016,217.9100037
5/25/2016,219.5800018
5/26/2016,225.1199951
5/27/2016,223.0399933
5/31/2016,223.2299957
6/1/2016,219.5599976
6/2/2016,218.9600067
6/3/2016,218.9900055
6/6/2016,220.6799927
6/7/2016,232.3399963
6/8/2016,235.5200043
6/9/2016,229.3600006
6/10/2016,218.7899933
6/13/2016,217.8699951
6/14/2016,214.9600067
6/15/2016,217.6999969
6/16/2016,217.9299927
6/17/2016,215.4700012
6/20/2016,219.6999969
6/21/2016,219.6100006
6/22/2016,196.6600037
6/23/2016,196.3999939
6/24/2016,193.1499939
6/27/2016,198.5500031
6/28/2016,201.7899933
6/29/2016,210.1900024
6/30/2016,212.2799988
7/1/2016,216.5
7/5/2016,213.9799957
7/6/2016,214.4400024
7/7/2016,215.9400024
7/8/2016,216.7799988
7/11/2016,224.7799988
7/12/2016,224.6499939
7/13/2016,222.5299988
7/14/2016,221.5299988
7/15/2016,220.3999939
7/18/2016,226.25
7/19/2016,225.2599945
7/20/2016,228.3600006
7/21/2016,220.5
7/22/2016,222.2700043
7/25/2016,230.0099945
7/26/2016,229.5099945
7/27/2016,228.4900055
7/28/2016,230.6100006
7/29/2016,234.7899933
8/1/2016,230.0099945
8/2/2016,227.1999969
8/3/2016,225.7899933
8/4/2016,230.6100006
8/5/2016,230.0299988
8/8/2016,226.1600037
8/9/2016,229.0800018
8/10/2016,225.6499939
8/11/2016,224.9100037
8/12/2016,225.6100006
8/15/2016,225.5899963
8/16/2016,223.6100006
8/17/2016,223.2400055
8/18/2016,223.5099945
8/19/2016,225
8/22/2016,222.9299927
8/23/2016,224.8399963
8/24/2016,222.6199951
8/25/2016,220.9600067
8/26/2016,219.9900055
8/29/2016,215.1999969
8/30/2016,211.3399963
8/31/2016,212.0099945
9/1/2016,200.7700043
9/2/2016,197.7799988
9/6/2016,202.8300018
9/7/2016,201.7100067
9/8/2016,197.3600006
9/9/2016,194.4700012
9/12/2016,198.3000031
9/13/2016,196.0500031
9/14/2016,196.4100037
9/15/2016,200.4199982
9/16/2016,205.3999939
9/19/2016,206.3399963
9/20/2016,204.6399994
9/21/2016,205.2200012
9/22/2016,206.4299927
9/23/2016,207.4499969
9/26/2016,208.9900055
9/27/2016,205.8099976
9/28/2016,206.2700043
9/29/2016,200.6999969
9/30/2016,204.0299988
10/3/2016,213.6999969
10/4/2016,211.4100037
10/5/2016,208.4600067
10/6/2016,201
10/7/2016,196.6100006
10/10/2016,200.9499969
10/11/2016,200.1000061
10/12/2016,201.5099945
10/13/2016,200.2400055
10/14/2016,196.5099945
10/17/2016,193.9600067
10/18/2016,199.1000061
10/19/2016,203.5599976
10/20/2016,199.1000061
10/21/2016,200.0899963
10/24/2016,202.7599945
10/25/2016,202.3399963
10/26/2016,202.2400055
10/27/2016,204.0099945
10/28/2016,199.9700012
10/31/2016,197.7299957
11/1/2016,190.7899933
11/2/2016,188.0200043
11/3/2016,187.4199982
11/4/2016,190.5599976
11/7/2016,193.2100067
11/8/2016,194.9400024
11/9/2016,190.0599976
11/10/2016,185.3500061
11/11/2016,188.5599976
11/14/2016,181.4499969
11/15/2016,183.7700043
11/16/2016,183.9299927
11/17/2016,188.6600037
11/18/2016,185.0200043
11/21/2016,184.5200043
